"age","sex","year","contents","10211: Population, by age, sex, year and contents"
"F60-64 60-64 years","1 Males","1856","Persons",22206
"F60-64 60-64 years","1 Males","1857","Persons",22133
"F60-64 60-64 years","1 Males","1858","Persons",22097
"F60-64 60-64 years","1 Males","1859","Persons",22250
"F60-64 60-64 years","1 Males","1860","Persons",22581
"F60-64 60-64 years","1 Males","1861","Persons",22975
"F60-64 60-64 years","1 Males","1862","Persons",23382
"F60-64 60-64 years","1 Males","1863","Persons",22879
"F60-64 60-64 years","1 Males","1864","Persons",22637
"F60-64 60-64 years","1 Males","1865","Persons",21918
"F60-64 60-64 years","1 Males","1866","Persons",21689
"F60-64 60-64 years","1 Males","1867","Persons",21871
"F60-64 60-64 years","1 Males","1868","Persons",22383
"F60-64 60-64 years","1 Males","1869","Persons",22335
"F60-64 60-64 years","1 Males","1870","Persons",21533
"F60-64 60-64 years","1 Males","1871","Persons",21222
"F60-64 60-64 years","1 Males","1872","Persons",20912
"F60-64 60-64 years","1 Males","1873","Persons",21657
"F60-64 60-64 years","1 Males","1874","Persons",22090
"F60-64 60-64 years","1 Males","1875","Persons",23055
"F60-64 60-64 years","1 Males","1876","Persons",24279
"F60-64 60-64 years","1 Males","1877","Persons",25590
"F60-64 60-64 years","1 Males","1878","Persons",26242
"F60-64 60-64 years","1 Males","1879","Persons",27506
"F60-64 60-64 years","1 Males","1880","Persons",29147
"F60-64 60-64 years","1 Males","1881","Persons",30442
"F60-64 60-64 years","1 Males","1882","Persons",31232
"F60-64 60-64 years","1 Males","1883","Persons",32164
"F60-64 60-64 years","1 Males","1884","Persons",33138
"F60-64 60-64 years","1 Males","1885","Persons",33772
"F60-64 60-64 years","1 Males","1886","Persons",34140
"F60-64 60-64 years","1 Males","1887","Persons",34484
"F60-64 60-64 years","1 Males","1888","Persons",34271
"F60-64 60-64 years","1 Males","1889","Persons",33952
"F60-64 60-64 years","1 Males","1890","Persons",34160
"F60-64 60-64 years","1 Males","1891","Persons",33714
"F60-64 60-64 years","1 Males","1892","Persons",32851
"F60-64 60-64 years","1 Males","1893","Persons",32532
"F60-64 60-64 years","1 Males","1894","Persons",32540
"F60-64 60-64 years","1 Males","1895","Persons",32596
"F60-64 60-64 years","1 Males","1896","Persons",33075
"F60-64 60-64 years","1 Males","1897","Persons",33080
"F60-64 60-64 years","1 Males","1898","Persons",32952
"F60-64 60-64 years","1 Males","1899","Persons",32050
"F60-64 60-64 years","1 Males","1900","Persons",30872
"F60-64 60-64 years","1 Males","1901","Persons",29923
"F60-64 60-64 years","1 Males","1902","Persons",30475
"F60-64 60-64 years","1 Males","1903","Persons",30787
"F60-64 60-64 years","1 Males","1904","Persons",31867
"F60-64 60-64 years","1 Males","1905","Persons",32893
"F60-64 60-64 years","1 Males","1906","Persons",34063
"F60-64 60-64 years","1 Males","1907","Persons",34300
"F60-64 60-64 years","1 Males","1908","Persons",34745
"F60-64 60-64 years","1 Males","1909","Persons",34776
"F60-64 60-64 years","1 Males","1910","Persons",35613
"F60-64 60-64 years","1 Males","1911","Persons",35716
"F60-64 60-64 years","1 Males","1912","Persons",36352
"F60-64 60-64 years","1 Males","1913","Persons",36439
"F60-64 60-64 years","1 Males","1914","Persons",37270
"F60-64 60-64 years","1 Males","1915","Persons",38074
"F60-64 60-64 years","1 Males","1916","Persons",39053
"F60-64 60-64 years","1 Males","1917","Persons",39261
"F60-64 60-64 years","1 Males","1918","Persons",40057
"F60-64 60-64 years","1 Males","1919","Persons",40221
"F60-64 60-64 years","1 Males","1920","Persons",40419
"F60-64 60-64 years","1 Males","1921","Persons",40134
"F60-64 60-64 years","1 Males","1922","Persons",39792
"F60-64 60-64 years","1 Males","1923","Persons",39861
"F60-64 60-64 years","1 Males","1924","Persons",40562
"F60-64 60-64 years","1 Males","1925","Persons",40860
"F60-64 60-64 years","1 Males","1926","Persons",41734
"F60-64 60-64 years","1 Males","1927","Persons",42897
"F60-64 60-64 years","1 Males","1928","Persons",43093
"F60-64 60-64 years","1 Males","1929","Persons",43025
"F60-64 60-64 years","1 Males","1930","Persons",42779
"F60-64 60-64 years","1 Males","1931","Persons",42771
"F60-64 60-64 years","1 Males","1932","Persons",43078
"F60-64 60-64 years","1 Males","1933","Persons",44009
"F60-64 60-64 years","1 Males","1934","Persons",45031
"F60-64 60-64 years","1 Males","1935","Persons",46720
"F60-64 60-64 years","1 Males","1936","Persons",48429
"F60-64 60-64 years","1 Males","1937","Persons",50008
"F60-64 60-64 years","1 Males","1938","Persons",51685
"F60-64 60-64 years","1 Males","1939","Persons",52745
"F60-64 60-64 years","1 Males","1940","Persons",53735
"F60-64 60-64 years","1 Males","1941","Persons",53866
"F60-64 60-64 years","1 Males","1942","Persons",54028
"F60-64 60-64 years","1 Males","1943","Persons",53792
"F60-64 60-64 years","1 Males","1944","Persons",53519
"F60-64 60-64 years","1 Males","1945","Persons",54251
"F60-64 60-64 years","1 Males","1946","Persons",55412
"F60-64 60-64 years","1 Males","1947","Persons",57119
"F60-64 60-64 years","1 Males","1948","Persons",59079
"F60-64 60-64 years","1 Males","1949","Persons",60879
"F60-64 60-64 years","1 Males","1950","Persons",62214
"F60-64 60-64 years","1 Males","1951","Persons",63882
"F60-64 60-64 years","1 Males","1952","Persons",65987
"F60-64 60-64 years","1 Males","1953","Persons",67735
"F60-64 60-64 years","1 Males","1954","Persons",70370
"F60-64 60-64 years","1 Males","1955","Persons",73203
"F60-64 60-64 years","1 Males","1956","Persons",75641
"F60-64 60-64 years","1 Males","1957","Persons",78735
"F60-64 60-64 years","1 Males","1958","Persons",81051
"F60-64 60-64 years","1 Males","1959","Persons",83343
"F60-64 60-64 years","1 Males","1960","Persons",85000
"F60-64 60-64 years","1 Males","1961","Persons",86278
"F60-64 60-64 years","1 Males","1962","Persons",87488
"F60-64 60-64 years","1 Males","1963","Persons",89068
"F60-64 60-64 years","1 Males","1964","Persons",89940
"F60-64 60-64 years","1 Males","1965","Persons",90915
"F60-64 60-64 years","1 Males","1966","Persons",91516
"F60-64 60-64 years","1 Males","1967","Persons",92147
"F60-64 60-64 years","1 Males","1968","Persons",92876
"F60-64 60-64 years","1 Males","1969","Persons",94211
"F60-64 60-64 years","1 Males","1970","Persons",96438
"F60-64 60-64 years","1 Males","1971","Persons",98495
"F60-64 60-64 years","1 Males","1972","Persons",100456
"F60-64 60-64 years","1 Males","1973","Persons",102702
"F60-64 60-64 years","1 Males","1974","Persons",104129
"F60-64 60-64 years","1 Males","1975","Persons",104884
"F60-64 60-64 years","1 Males","1976","Persons",105271
"F60-64 60-64 years","1 Males","1977","Persons",105176
"F60-64 60-64 years","1 Males","1978","Persons",106040
"F60-64 60-64 years","1 Males","1979","Persons",106540
"F60-64 60-64 years","1 Males","1980","Persons",105833
"F60-64 60-64 years","1 Males","1981","Persons",109397
"F60-64 60-64 years","1 Males","1982","Persons",111057
"F60-64 60-64 years","1 Males","1983","Persons",111354
"F60-64 60-64 years","1 Males","1984","Persons",111919
"F60-64 60-64 years","1 Males","1985","Persons",112523
"F60-64 60-64 years","1 Males","1986","Persons",108376
"F60-64 60-64 years","1 Males","1987","Persons",106023
"F60-64 60-64 years","1 Males","1988","Persons",102701
"F60-64 60-64 years","1 Males","1989","Persons",99260
"F60-64 60-64 years","1 Males","1990","Persons",96430
"F60-64 60-64 years","1 Males","1991","Persons",94938
"F60-64 60-64 years","1 Males","1992","Persons",92718
"F60-64 60-64 years","1 Males","1993","Persons",91623
"F60-64 60-64 years","1 Males","1994","Persons",89649
"F60-64 60-64 years","1 Males","1995","Persons",87750
"F60-64 60-64 years","1 Males","1996","Persons",85461
"F60-64 60-64 years","1 Males","1997","Persons",84857
"F60-64 60-64 years","1 Males","1998","Persons",84660
"F60-64 60-64 years","1 Males","1999","Persons",86271
"F60-64 60-64 years","1 Males","2000","Persons",88975
"F60-64 60-64 years","1 Males","2001","Persons",92561
"F60-64 60-64 years","1 Males","2002","Persons",94372
"F60-64 60-64 years","1 Males","2003","Persons",98425
"F60-64 60-64 years","1 Males","2004","Persons",103784
"F60-64 60-64 years","1 Males","2005","Persons",111690
"F60-64 60-64 years","1 Males","2006","Persons",119651
"F60-64 60-64 years","1 Males","2007","Persons",131703
"F60-64 60-64 years","1 Males","2008","Persons",139546
"F60-64 60-64 years","1 Males","2009","Persons",145011
"F60-64 60-64 years","1 Males","2010","Persons",146836
"F60-64 60-64 years","1 Males","2011","Persons",147642
"F60-64 60-64 years","1 Males","2012","Persons",144685
"F60-64 60-64 years","1 Males","2013","Persons",144012
"F60-64 60-64 years","1 Males","2014","Persons",143897
"F60-64 60-64 years","1 Males","2015","Persons",144730
"F60-64 60-64 years","1 Males","2016","Persons",146418
"F60-64 60-64 years","1 Males","2017","Persons",149114
"F60-64 60-64 years","1 Males","2018","Persons",150564
"F60-64 60-64 years","1 Males","2019","Persons",152590
"F60-64 60-64 years","1 Males","2020","Persons",154816
"F60-64 60-64 years","1 Males","2021","Persons",156396
"F60-64 60-64 years","1 Males","2022","Persons",157489
"F60-64 60-64 years","2 Females","1846","Persons",20646
"F60-64 60-64 years","2 Females","1847","Persons",20841
"F60-64 60-64 years","2 Females","1848","Persons",20898
"F60-64 60-64 years","2 Females","1849","Persons",21626
"F60-64 60-64 years","2 Females","1850","Persons",22069
"F60-64 60-64 years","2 Females","1851","Persons",22930
"F60-64 60-64 years","2 Females","1852","Persons",23713
"F60-64 60-64 years","2 Females","1853","Persons",24815
"F60-64 60-64 years","2 Females","1854","Persons",25371
"F60-64 60-64 years","2 Females","1855","Persons",25903
"F60-64 60-64 years","2 Females","1856","Persons",25942
"F60-64 60-64 years","2 Females","1857","Persons",25573
"F60-64 60-64 years","2 Females","1858","Persons",25188
"F60-64 60-64 years","2 Females","1859","Persons",25208
"F60-64 60-64 years","2 Females","1860","Persons",25640
"F60-64 60-64 years","2 Females","1861","Persons",26381
"F60-64 60-64 years","2 Females","1862","Persons",26925
"F60-64 60-64 years","2 Females","1863","Persons",26566
"F60-64 60-64 years","2 Females","1864","Persons",26346
"F60-64 60-64 years","2 Females","1865","Persons",25268
"F60-64 60-64 years","2 Females","1866","Persons",24661
"F60-64 60-64 years","2 Females","1867","Persons",24849
"F60-64 60-64 years","2 Females","1868","Persons",25421
"F60-64 60-64 years","2 Females","1869","Persons",25469
"F60-64 60-64 years","2 Females","1870","Persons",24629
"F60-64 60-64 years","2 Females","1871","Persons",24125
"F60-64 60-64 years","2 Females","1872","Persons",23930
"F60-64 60-64 years","2 Females","1873","Persons",24573
"F60-64 60-64 years","2 Females","1874","Persons",24947
"F60-64 60-64 years","2 Females","1875","Persons",25957
"F60-64 60-64 years","2 Females","1876","Persons",27238
"F60-64 60-64 years","2 Females","1877","Persons",28584
"F60-64 60-64 years","2 Females","1878","Persons",29200
"F60-64 60-64 years","2 Females","1879","Persons",30492
"F60-64 60-64 years","2 Females","1880","Persons",32214
"F60-64 60-64 years","2 Females","1881","Persons",33440
"F60-64 60-64 years","2 Females","1882","Persons",33990
"F60-64 60-64 years","2 Females","1883","Persons",34909
"F60-64 60-64 years","2 Females","1884","Persons",35858
"F60-64 60-64 years","2 Females","1885","Persons",36645
"F60-64 60-64 years","2 Females","1886","Persons",37326
"F60-64 60-64 years","2 Females","1887","Persons",37949
"F60-64 60-64 years","2 Females","1888","Persons",37934
"F60-64 60-64 years","2 Females","1889","Persons",37763
"F60-64 60-64 years","2 Females","1890","Persons",37836
"F60-64 60-64 years","2 Females","1891","Persons",37373
"F60-64 60-64 years","2 Females","1892","Persons",36549
"F60-64 60-64 years","2 Females","1893","Persons",36152
"F60-64 60-64 years","2 Females","1894","Persons",36156
"F60-64 60-64 years","2 Females","1895","Persons",36328
"F60-64 60-64 years","2 Females","1896","Persons",36919
"F60-64 60-64 years","2 Females","1897","Persons",37210
"F60-64 60-64 years","2 Females","1898","Persons",37326
"F60-64 60-64 years","2 Females","1899","Persons",36565
"F60-64 60-64 years","2 Females","1900","Persons",35388
"F60-64 60-64 years","2 Females","1901","Persons",34368
"F60-64 60-64 years","2 Females","1902","Persons",34796
"F60-64 60-64 years","2 Females","1903","Persons",35193
"F60-64 60-64 years","2 Females","1904","Persons",36587
"F60-64 60-64 years","2 Females","1905","Persons",37899
"F60-64 60-64 years","2 Females","1906","Persons",39316
"F60-64 60-64 years","2 Females","1907","Persons",39801
"F60-64 60-64 years","2 Females","1908","Persons",40513
"F60-64 60-64 years","2 Females","1909","Persons",40587
"F60-64 60-64 years","2 Females","1910","Persons",41317
"F60-64 60-64 years","2 Females","1911","Persons",41244
"F60-64 60-64 years","2 Females","1912","Persons",42222
"F60-64 60-64 years","2 Females","1913","Persons",42637
"F60-64 60-64 years","2 Females","1914","Persons",43869
"F60-64 60-64 years","2 Females","1915","Persons",45164
"F60-64 60-64 years","2 Females","1916","Persons",46509
"F60-64 60-64 years","2 Females","1917","Persons",46995
"F60-64 60-64 years","2 Females","1918","Persons",47753
"F60-64 60-64 years","2 Females","1919","Persons",47794
"F60-64 60-64 years","2 Females","1920","Persons",47789
"F60-64 60-64 years","2 Females","1921","Persons",47750
"F60-64 60-64 years","2 Females","1922","Persons",47810
"F60-64 60-64 years","2 Females","1923","Persons",48239
"F60-64 60-64 years","2 Females","1924","Persons",49313
"F60-64 60-64 years","2 Females","1925","Persons",49855
"F60-64 60-64 years","2 Females","1926","Persons",50921
"F60-64 60-64 years","2 Females","1927","Persons",52050
"F60-64 60-64 years","2 Females","1928","Persons",52061
"F60-64 60-64 years","2 Females","1929","Persons",51630
"F60-64 60-64 years","2 Females","1930","Persons",51074
"F60-64 60-64 years","2 Females","1931","Persons",50672
"F60-64 60-64 years","2 Females","1932","Persons",50648
"F60-64 60-64 years","2 Females","1933","Persons",51468
"F60-64 60-64 years","2 Females","1934","Persons",52366
"F60-64 60-64 years","2 Females","1935","Persons",53736
"F60-64 60-64 years","2 Females","1936","Persons",55140
"F60-64 60-64 years","2 Females","1937","Persons",57058
"F60-64 60-64 years","2 Females","1938","Persons",58609
"F60-64 60-64 years","2 Females","1939","Persons",59975
"F60-64 60-64 years","2 Females","1940","Persons",61554
"F60-64 60-64 years","2 Females","1941","Persons",62327
"F60-64 60-64 years","2 Females","1942","Persons",62292
"F60-64 60-64 years","2 Females","1943","Persons",62822
"F60-64 60-64 years","2 Females","1944","Persons",63093
"F60-64 60-64 years","2 Females","1945","Persons",64162
"F60-64 60-64 years","2 Females","1946","Persons",65161
"F60-64 60-64 years","2 Females","1947","Persons",66141
"F60-64 60-64 years","2 Females","1948","Persons",68203
"F60-64 60-64 years","2 Females","1949","Persons",69638
"F60-64 60-64 years","2 Females","1950","Persons",71007
"F60-64 60-64 years","2 Females","1951","Persons",72498
"F60-64 60-64 years","2 Females","1952","Persons",74271
"F60-64 60-64 years","2 Females","1953","Persons",76042
"F60-64 60-64 years","2 Females","1954","Persons",78192
"F60-64 60-64 years","2 Females","1955","Persons",80660
"F60-64 60-64 years","2 Females","1956","Persons",83135
"F60-64 60-64 years","2 Females","1957","Persons",85915
"F60-64 60-64 years","2 Females","1958","Persons",88597
"F60-64 60-64 years","2 Females","1959","Persons",91428
"F60-64 60-64 years","2 Females","1960","Persons",93720
"F60-64 60-64 years","2 Females","1961","Persons",95695
"F60-64 60-64 years","2 Females","1962","Persons",97277
"F60-64 60-64 years","2 Females","1963","Persons",98922
"F60-64 60-64 years","2 Females","1964","Persons",99789
"F60-64 60-64 years","2 Females","1965","Persons",100972
"F60-64 60-64 years","2 Females","1966","Persons",101834
"F60-64 60-64 years","2 Females","1967","Persons",102901
"F60-64 60-64 years","2 Females","1968","Persons",103699
"F60-64 60-64 years","2 Females","1969","Persons",104526
"F60-64 60-64 years","2 Females","1970","Persons",106150
"F60-64 60-64 years","2 Females","1971","Persons",107598
"F60-64 60-64 years","2 Females","1972","Persons",109015
"F60-64 60-64 years","2 Females","1973","Persons",110861
"F60-64 60-64 years","2 Females","1974","Persons",112230
"F60-64 60-64 years","2 Females","1975","Persons",112723
"F60-64 60-64 years","2 Females","1976","Persons",113329
"F60-64 60-64 years","2 Females","1977","Persons",113884
"F60-64 60-64 years","2 Females","1978","Persons",114833
"F60-64 60-64 years","2 Females","1979","Persons",115912
"F60-64 60-64 years","2 Females","1980","Persons",115296
"F60-64 60-64 years","2 Females","1981","Persons",119210
"F60-64 60-64 years","2 Females","1982","Persons",120948
"F60-64 60-64 years","2 Females","1983","Persons",121106
"F60-64 60-64 years","2 Females","1984","Persons",121030
"F60-64 60-64 years","2 Females","1985","Persons",121334
"F60-64 60-64 years","2 Females","1986","Persons",116277
"F60-64 60-64 years","2 Females","1987","Persons",113138
"F60-64 60-64 years","2 Females","1988","Persons",109237
"F60-64 60-64 years","2 Females","1989","Persons",105687
"F60-64 60-64 years","2 Females","1990","Persons",102453
"F60-64 60-64 years","2 Females","1991","Persons",100646
"F60-64 60-64 years","2 Females","1992","Persons",98413
"F60-64 60-64 years","2 Females","1993","Persons",97101
"F60-64 60-64 years","2 Females","1994","Persons",94445
"F60-64 60-64 years","2 Females","1995","Persons",92489
"F60-64 60-64 years","2 Females","1996","Persons",90431
"F60-64 60-64 years","2 Females","1997","Persons",89149
"F60-64 60-64 years","2 Females","1998","Persons",88846
"F60-64 60-64 years","2 Females","1999","Persons",90704
"F60-64 60-64 years","2 Females","2000","Persons",93215
"F60-64 60-64 years","2 Females","2001","Persons",95720
"F60-64 60-64 years","2 Females","2002","Persons",97260
"F60-64 60-64 years","2 Females","2003","Persons",100772
"F60-64 60-64 years","2 Females","2004","Persons",105180
"F60-64 60-64 years","2 Females","2005","Persons",111926
"F60-64 60-64 years","2 Females","2006","Persons",119271
"F60-64 60-64 years","2 Females","2007","Persons",130357
"F60-64 60-64 years","2 Females","2008","Persons",137808
"F60-64 60-64 years","2 Females","2009","Persons",142650
"F60-64 60-64 years","2 Females","2010","Persons",144346
"F60-64 60-64 years","2 Females","2011","Persons",144766
"F60-64 60-64 years","2 Females","2012","Persons",141462
"F60-64 60-64 years","2 Females","2013","Persons",140634
"F60-64 60-64 years","2 Females","2014","Persons",141388
"F60-64 60-64 years","2 Females","2015","Persons",142764
"F60-64 60-64 years","2 Females","2016","Persons",144666
"F60-64 60-64 years","2 Females","2017","Persons",148103
"F60-64 60-64 years","2 Females","2018","Persons",149615
"F60-64 60-64 years","2 Females","2019","Persons",151153
"F60-64 60-64 years","2 Females","2020","Persons",152407
"F60-64 60-64 years","2 Females","2021","Persons",153256
"F60-64 60-64 years","2 Females","2022","Persons",153776
"F65-69 65-69 years","0 Both sexes","1846","Persons",29877
"F65-69 65-69 years","0 Both sexes","1847","Persons",30817
"F65-69 65-69 years","0 Both sexes","1848","Persons",31003
"F65-69 65-69 years","0 Both sexes","1849","Persons",30368
"F65-69 65-69 years","0 Both sexes","1850","Persons",30872
"F65-69 65-69 years","0 Both sexes","1851","Persons",30897
"F65-69 65-69 years","0 Both sexes","1852","Persons",31630
"F65-69 65-69 years","0 Both sexes","1853","Persons",32300
"F65-69 65-69 years","0 Both sexes","1854","Persons",33924
"F65-69 65-69 years","0 Both sexes","1855","Persons",35124
"F65-69 65-69 years","0 Both sexes","1856","Persons",36643
"F65-69 65-69 years","0 Both sexes","1857","Persons",37554
"F65-69 65-69 years","0 Both sexes","1858","Persons",38773
"F65-69 65-69 years","0 Both sexes","1859","Persons",39369
"F65-69 65-69 years","0 Both sexes","1860","Persons",39941
"F65-69 65-69 years","0 Both sexes","1861","Persons",39993
"F65-69 65-69 years","0 Both sexes","1862","Persons",39937
"F65-69 65-69 years","0 Both sexes","1863","Persons",40147
"F65-69 65-69 years","0 Both sexes","1864","Persons",40756
"F65-69 65-69 years","0 Both sexes","1865","Persons",41609
"F65-69 65-69 years","0 Both sexes","1866","Persons",42754
"F65-69 65-69 years","0 Both sexes","1867","Persons",42730
"F65-69 65-69 years","0 Both sexes","1868","Persons",41111
"F65-69 65-69 years","0 Both sexes","1869","Persons",40312
"F65-69 65-69 years","0 Both sexes","1870","Persons",38828
"F65-69 65-69 years","0 Both sexes","1871","Persons",38422
"F65-69 65-69 years","0 Both sexes","1872","Persons",38897
"F65-69 65-69 years","0 Both sexes","1873","Persons",40051
"F65-69 65-69 years","0 Both sexes","1874","Persons",39811
"F65-69 65-69 years","0 Both sexes","1875","Persons",38487
"F65-69 65-69 years","0 Both sexes","1876","Persons",38286
"F65-69 65-69 years","0 Both sexes","1877","Persons",39009
"F65-69 65-69 years","0 Both sexes","1878","Persons",40614
"F65-69 65-69 years","0 Both sexes","1879","Persons",41485
"F65-69 65-69 years","0 Both sexes","1880","Persons",42847
"F65-69 65-69 years","0 Both sexes","1881","Persons",44480
"F65-69 65-69 years","0 Both sexes","1882","Persons",46830
"F65-69 65-69 years","0 Both sexes","1883","Persons",47687
"F65-69 65-69 years","0 Both sexes","1884","Persons",49882
"F65-69 65-69 years","0 Both sexes","1885","Persons",52444
"F65-69 65-69 years","0 Both sexes","1886","Persons",54579
"F65-69 65-69 years","0 Both sexes","1887","Persons",55651
"F65-69 65-69 years","0 Both sexes","1888","Persons",57514
"F65-69 65-69 years","0 Both sexes","1889","Persons",59242
"F65-69 65-69 years","0 Both sexes","1890","Persons",60524
"F65-69 65-69 years","0 Both sexes","1891","Persons",61618
"F65-69 65-69 years","0 Both sexes","1892","Persons",62364
"F65-69 65-69 years","0 Both sexes","1893","Persons",61832
"F65-69 65-69 years","0 Both sexes","1894","Persons",61383
"F65-69 65-69 years","0 Both sexes","1895","Persons",61927
"F65-69 65-69 years","0 Both sexes","1896","Persons",61387
"F65-69 65-69 years","0 Both sexes","1897","Persons",60526
"F65-69 65-69 years","0 Both sexes","1898","Persons",60288
"F65-69 65-69 years","0 Both sexes","1899","Persons",60750
"F65-69 65-69 years","0 Both sexes","1900","Persons",61042
"F65-69 65-69 years","0 Both sexes","1901","Persons",62006
"F65-69 65-69 years","0 Both sexes","1902","Persons",62016
"F65-69 65-69 years","0 Both sexes","1903","Persons",61844
"F65-69 65-69 years","0 Both sexes","1904","Persons",59858
"F65-69 65-69 years","0 Both sexes","1905","Persons",57922
"F65-69 65-69 years","0 Both sexes","1906","Persons",56529
"F65-69 65-69 years","0 Both sexes","1907","Persons",57539
"F65-69 65-69 years","0 Both sexes","1908","Persons",58296
"F65-69 65-69 years","0 Both sexes","1909","Persons",60529
"F65-69 65-69 years","0 Both sexes","1910","Persons",62504
"F65-69 65-69 years","0 Both sexes","1911","Persons",64706
"F65-69 65-69 years","0 Both sexes","1912","Persons",65329
"F65-69 65-69 years","0 Both sexes","1913","Persons",66150
"F65-69 65-69 years","0 Both sexes","1914","Persons",66180
"F65-69 65-69 years","0 Both sexes","1915","Persons",67596
"F65-69 65-69 years","0 Both sexes","1916","Persons",67923
"F65-69 65-69 years","0 Both sexes","1917","Persons",69424
"F65-69 65-69 years","0 Both sexes","1918","Persons",70067
"F65-69 65-69 years","0 Both sexes","1919","Persons",71777
"F65-69 65-69 years","0 Both sexes","1920","Persons",73605
"F65-69 65-69 years","0 Both sexes","1921","Persons",75570
"F65-69 65-69 years","0 Both sexes","1922","Persons",76289
"F65-69 65-69 years","0 Both sexes","1923","Persons",77375
"F65-69 65-69 years","0 Both sexes","1924","Persons",77713
"F65-69 65-69 years","0 Both sexes","1925","Persons",78095
"F65-69 65-69 years","0 Both sexes","1926","Persons",77878
"F65-69 65-69 years","0 Both sexes","1927","Persons",77748
"F65-69 65-69 years","0 Both sexes","1928","Persons",78178
"F65-69 65-69 years","0 Both sexes","1929","Persons",79739
"F65-69 65-69 years","0 Both sexes","1930","Persons",80576
"F65-69 65-69 years","0 Both sexes","1931","Persons",82178
"F65-69 65-69 years","0 Both sexes","1932","Persons",84340
"F65-69 65-69 years","0 Both sexes","1933","Persons",84649
"F65-69 65-69 years","0 Both sexes","1934","Persons",84534
"F65-69 65-69 years","0 Both sexes","1935","Persons",84015
"F65-69 65-69 years","0 Both sexes","1936","Persons",83834
"F65-69 65-69 years","0 Both sexes","1937","Persons",83969
"F65-69 65-69 years","0 Both sexes","1938","Persons",85853
"F65-69 65-69 years","0 Both sexes","1939","Persons",87488
"F65-69 65-69 years","0 Both sexes","1940","Persons",90375
"F65-69 65-69 years","0 Both sexes","1941","Persons",92918
"F65-69 65-69 years","0 Both sexes","1942","Persons",96081
"F65-69 65-69 years","0 Both sexes","1943","Persons",98905
"F65-69 65-69 years","0 Both sexes","1944","Persons",101807
"F65-69 65-69 years","0 Both sexes","1945","Persons",103500
"F65-69 65-69 years","0 Both sexes","1946","Persons",104559
"F65-69 65-69 years","0 Both sexes","1947","Persons",103837
"F65-69 65-69 years","0 Both sexes","1948","Persons",104766
"F65-69 65-69 years","0 Both sexes","1949","Persons",105877
"F65-69 65-69 years","0 Both sexes","1950","Persons",106403
"F65-69 65-69 years","0 Both sexes","1951","Persons",109094
"F65-69 65-69 years","0 Both sexes","1952","Persons",113270
"F65-69 65-69 years","0 Both sexes","1953","Persons",116650
"F65-69 65-69 years","0 Both sexes","1954","Persons",120150
"F65-69 65-69 years","0 Both sexes","1955","Persons",122325
"F65-69 65-69 years","0 Both sexes","1956","Persons",125097
"F65-69 65-69 years","0 Both sexes","1957","Persons",129167
"F65-69 65-69 years","0 Both sexes","1958","Persons",132205
"F65-69 65-69 years","0 Both sexes","1959","Persons",136732
"F65-69 65-69 years","0 Both sexes","1960","Persons",141558
"F65-69 65-69 years","0 Both sexes","1961","Persons",146380
"F65-69 65-69 years","0 Both sexes","1962","Persons",151134
"F65-69 65-69 years","0 Both sexes","1963","Persons",155399
"F65-69 65-69 years","0 Both sexes","1964","Persons",159658
"F65-69 65-69 years","0 Both sexes","1965","Persons",162934
"F65-69 65-69 years","0 Both sexes","1966","Persons",165996
"F65-69 65-69 years","0 Both sexes","1967","Persons",169045
"F65-69 65-69 years","0 Both sexes","1968","Persons",171741
"F65-69 65-69 years","0 Both sexes","1969","Persons",173739
"F65-69 65-69 years","0 Both sexes","1970","Persons",175564
"F65-69 65-69 years","0 Both sexes","1971","Persons",176613
"F65-69 65-69 years","0 Both sexes","1972","Persons",178192
"F65-69 65-69 years","0 Both sexes","1973","Persons",179586
"F65-69 65-69 years","0 Both sexes","1974","Persons",181802
"F65-69 65-69 years","0 Both sexes","1975","Persons",185658
"F65-69 65-69 years","0 Both sexes","1976","Persons",188960
"F65-69 65-69 years","0 Both sexes","1977","Persons",192237
"F65-69 65-69 years","0 Both sexes","1978","Persons",195832
"F65-69 65-69 years","0 Both sexes","1979","Persons",198479
"F65-69 65-69 years","0 Both sexes","1980","Persons",199695
"F65-69 65-69 years","0 Both sexes","1981","Persons",200589
"F65-69 65-69 years","0 Both sexes","1982","Persons",201156
"F65-69 65-69 years","0 Both sexes","1983","Persons",202789
"F65-69 65-69 years","0 Both sexes","1984","Persons",204342
"F65-69 65-69 years","0 Both sexes","1985","Persons",203389
"F65-69 65-69 years","0 Both sexes","1986","Persons",210603
"F65-69 65-69 years","0 Both sexes","1987","Persons",213729
"F65-69 65-69 years","0 Both sexes","1988","Persons",214112
"F65-69 65-69 years","0 Both sexes","1989","Persons",214694
"F65-69 65-69 years","0 Both sexes","1990","Persons",215527
"F65-69 65-69 years","0 Both sexes","1991","Persons",207087
"F65-69 65-69 years","0 Both sexes","1992","Persons",202189
"F65-69 65-69 years","0 Both sexes","1993","Persons",196022
"F65-69 65-69 years","0 Both sexes","1994","Persons",189845
"F65-69 65-69 years","0 Both sexes","1995","Persons",184647
"F65-69 65-69 years","0 Both sexes","1996","Persons",181868
"F65-69 65-69 years","0 Both sexes","1997","Persons",178118
"F65-69 65-69 years","0 Both sexes","1998","Persons",176369
"F65-69 65-69 years","0 Both sexes","1999","Persons",172387
"F65-69 65-69 years","0 Both sexes","2000","Persons",168828
"F65-69 65-69 years","0 Both sexes","2001","Persons",164834
